Case_ID,HD95_WT,HD95_TC,HD95_ET
BRATS_001,4.58257569495584,1.7320508075688772,1.0
BRATS_002,4.358898943540674,1.0,1.0
BRATS_003,5.477225575051661,1.4142135623730951,1.0
BRATS_004,1.7320508075688772,3.0,1.4142135623730951
BRATS_005,8.246211251235321,4.358898943540674,2.8284271247461903
BRATS_006,3.1622776601683795,2.8284271247461903,1.7320508075688772
BRATS_007,2.23606797749979,14.798648586948742,1.0
BRATS_008,7.0710678118654755,10.473753889864224,10.246950765959598
BRATS_009,3.7416573867739413,9.695359714832659,6.164414002968976
BRATS_010,4.358898943540674,2.449489742783178,2.449489742783178
BRATS_011,5.774798883445448,2.0,2.0
BRATS_012,18.894443627691185,1.4142135623730951,1.4142135623730951
BRATS_013,4.123105625617661,1.4142135623730951,1.4142135623730951
BRATS_014,2.449489742783178,3.0,1.4142135623730951
BRATS_015,2.23606797749979,7.280109889280518,1.0
BRATS_016,2.449489742783178,5.385164807134504,3.3166247903554
BRATS_017,2.23606797749979,3.605551275463989,1.0
BRATS_018,4.123105625617661,12.569805089976535,12.206555615733702
BRATS_019,4.123105625617661,2.23606797749979,1.4142135623730951
BRATS_020,4.242640687119285,6.4031242374328485,1.4142135623730951
BRATS_021,4.123105625617661,1.0,1.4142135623730951
BRATS_022,1.7320508075688772,2.23606797749979,1.4142135623730951
BRATS_023,1.7320508075688772,1.4142135623730951,1.4142135623730951
BRATS_024,3.0,2.449489742783178,2.23606797749979
BRATS_025,2.23606797749979,1.0,1.0
BRATS_026,3.0,3.7416573867739413,3.605551275463989
BRATS_027,11.445523142259598,2.23606797749979,1.4142135623730951
BRATS_028,6.324555320336759,3.0,2.0
BRATS_029,1.4142135623730951,1.0,1.0
BRATS_030,5.916079783099616,14.46546840764808,3.7416573867739413
BRATS_031,3.7416573867739413,1.4142135623730951,1.0
BRATS_032,3.0,2.449489742783178,1.4142135623730951
BRATS_033,1.4142135623730951,1.4142135623730951,1.0
BRATS_034,1.7320508075688772,2.8284271247461903,1.4142135623730951
BRATS_035,4.58257569495584,5.830951894845301,2.0
BRATS_036,2.23606797749979,2.23606797749979,2.0
BRATS_037,4.47213595499958,2.449489742783178,1.4142135623730951
BRATS_038,3.0,2.449489742783178,1.4142135623730951
BRATS_039,2.23606797749979,1.7320508075688772,1.4142135623730951
BRATS_040,2.0,2.0,1.4142135623730951
BRATS_041,1.4142135623730951,4.0,2.0
BRATS_042,1.0,1.4142135623730951,1.0
BRATS_043,5.385164807134504,3.3166247903554,3.0
BRATS_044,6.0,5.385164807134504,4.460812253853674
BRATS_045,1.7320508075688772,1.4142135623730951,1.4142135623730951
BRATS_046,17.832554500127006,1.4142135623730951,1.4142135623730951
BRATS_047,8.306623862918075,2.0,1.0
BRATS_048,16.401219466856727,1.7320508075688772,1.4142135623730951
BRATS_049,2.23606797749979,1.0,2.23606797749979
BRATS_050,2.0,1.4142135623730951,1.0
BRATS_051,1.4142135623730951,1.4142135623730951,1.4142135623730951
BRATS_052,1.7320508075688772,1.4142135623730951,1.0
BRATS_053,1.4142135623730951,4.242640687119285,1.4142135623730951
BRATS_054,2.8284271247461903,2.23606797749979,1.4142135623730951
BRATS_055,2.449489742783178,1.0,1.0
BRATS_056,4.898979485566356,3.0,2.0
BRATS_057,2.8284271247461903,1.4142135623730951,1.4142135623730951
BRATS_058,8.06225774829855,14.035668847618199,11.874342087037917
BRATS_059,4.123105625617661,1.4142135623730951,1.4142135623730951
BRATS_060,3.605551275463989,1.4142135623730951,1.0
